run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U,rdmd_params/ni_hop
0,0.30000000000000004,22.656907946250673,29,1,[0],0.7812726878017585,0.006179769186333805,2.589822831237749,0.16426078904079472,0.26199460921705936,0.0013012850215615595,0.8702790323398875,27.581214247527672,-0.49822558827998153,-0.025835578568981544,0.3235724662679168,0.0008608183247167881
1,0.30000000000000004,22.65450636065269,29,1,[1],0.7811898745052755,0.006055724309164208,2.589836224962869,0.1649731085270236,0.2640479995434747,0.0007153886169015852,0.878490758372145,27.823849381281875,-0.49818453706236543,-0.026530153069617774,0.32328840119266444,0.0009173028689739756
2,0.30000000000000004,22.647631862129423,29,1,[2],0.7809528228320536,0.0062792194200900426,2.588524564126635,0.1530971030394144,0.2706543402594584,2.2901330559001263e-05,0.9021276977602235,27.777574118573835,-0.4980996378836305,-0.025467014501922444,0.32312416416258427,0.0008341441141975934
3,0.30000000000000004,22.646690073675394,29,1,[3],0.7809203473681247,0.006275756756133049,2.588424392129438,0.15309901433716336,0.27159796128628305,2.9463874425737587e-05,0.9052577885806167,27.779704078345652,-0.49809802599873937,-0.025482417813049756,0.3231141278968455,0.0008354503954665338
4,0.30000000000000004,22.646690173276316,29,1,[4],0.7809203508026346,0.006275756559311699,2.5884244040370543,0.15309898766157665,0.2715978603482513,2.946212602908866e-05,0.905257456200103,27.779700044093065,-0.4980980171864451,-0.025482413864928655,0.3231140915772497,0.0008354490871272883
5,0.30000000000000004,22.639249059454542,29,1,[5],0.7806637606708542,0.006283140133635453,2.587551875257698,0.1472043513468079,0.27929880319766875,0.00010339958533638195,0.9307547449597775,27.875344544204445,-0.49798941948715486,-0.02540496625914163,0.3226974418562612,0.0008309552425181654
6,0.30000000000000004,22.417141838036258,29,1,[6],0.7730048909667647,0.006268882075323342,2.5620555783801278,0.022620658571606108,0.5014130132650545,2.208452604043008e-05,1.6713251803227538,31.543245232481866,-0.4980546087941603,-0.02550350397384943,0.32290802117643297,0.0008380473877899318
7,0.30000000000000004,22.07192366733982,29,1,[7],0.7611008161151719,0.006708965248692753,2.521348468136956,0.005876312252392049,0.7793322971509777,0.004062159607149696,2.5882959514199095,31.40968190237114,-0.49819980851376583,-0.023896230108914583,0.3259398652407705,0.0002289186177771583
8,0.30000000000000004,22.679314021285137,29,1,[8],0.7820453110788017,0.007884596119673539,2.5884203126501006,0.02199755311969032,0.6092380013917142,0.003222557186272787,2.023274037871077,32.20320766909154,-0.4974648444158607,0.0013150149738781556,0.3186459733412131,-0.024096680770938492
9,0.30000000000000004,22.679327007901158,29,1,[9],0.7820457588931401,0.007884656289330038,2.5884216649686964,0.02199763657293753,0.6092288188823987,0.0032227314326079485,2.02324302293191,32.20322456479295,-0.49746485821604375,0.0013151175017376044,0.31864601018005606,-0.024096783474665075
10,0.30000000000000004,22.49134781136557,29,1,[10],0.775563717633305,0.007863749381148918,2.566863643555002,0.022066424606119288,0.7805622664380041,0.004062788145089065,2.5923943824548052,32.18457893457837,-0.4974379334868246,0.001526503415270447,0.31840953989995213,-0.024157705775691984
11,0.30000000000000004,22.491328223428,29,1,[11],0.7755630421871681,0.007863759648496683,2.566861368110734,0.02206645027741825,0.7805822933212441,0.0040632759273884584,2.5924600005735736,32.18461327272854,-0.497437988395778,0.0015264987783804873,0.31840978640702294,-0.02415774427778331
12,0.30000000000000004,22.1124874245204,29,1,[12],0.762499566362784,0.006359807437683251,2.526825670521352,0.006287777429065533,0.7301987775823289,0.00937867490017861,2.412112350507346,31.60909066627939,-0.4982021130651116,-0.02490452585778436,0.32470690754390685,0.00077553356251204
13,0.30000000000000004,22.089134140392026,29,1,[13],0.761694280703181,0.006494795592689808,2.52382641262766,0.0060944152750438095,0.7121786711431866,0.006239389230887704,2.3593703289385504,31.850132262471597,-0.49818204286690987,-0.02436568627086224,0.3244307149178792,0.0002471599956414929
14,0.30000000000000004,22.08914592756967,29,1,[14],0.7616946871575732,0.00649480365714853,2.5238277486585634,0.006094443566652248,0.712168361260869,0.0062392383487923945,2.359336314722381,31.850099931014405,-0.49818197715273504,-0.024365756626641134,0.3244304505161208,0.0002472271519729471
15,0.30000000000000004,22.059025585726303,29,1,[15],0.7606560546802206,0.006471085584637432,2.520420982569914,0.006105949047712768,0.7369406538342995,0.012554134470887272,2.427175865682261,31.901917877957032,-0.4981573951828856,-0.024522772402127076,0.32427427653377,0.0002542953825570574
16,0.30000000000000004,21.958137609998072,29,1,[16],0.7571771589654558,0.006623424614137935,2.508469205785197,0.006355530855781818,0.8305806670320028,0.012013904021542727,2.7405697807230758,31.920483589300456,-0.498121429215546,-0.025196537456022832,0.32400498349560564,0.0008006659436577622
17,0.30000000000000004,22.03046347212635,29,1,[17],0.7596711542112512,0.006683853279841641,2.5166415230512063,0.0063663907570738745,0.7582013181153157,0.010165523627117982,2.50361817192111,31.9274221867,-0.49812143993025737,-0.02519496303606647,0.323933659695264,0.0008008717721806651
18,0.30000000000000004,21.946708939994483,29,1,[18],0.7567830668963672,0.006580099301158487,2.507256657951854,0.006153476795585931,0.8470303737731609,0.005958278866366106,2.809531928555682,31.94032008121737,-0.49814361028407317,-0.024615821148566565,0.3239225268529317,0.00026283548371745915
19,0.30000000000000004,21.726727457094604,29,1,[19],0.7491974985205113,0.006212871750163029,2.4828282943179905,0.006416127689944652,1.0597801266537559,0.004038211213082677,3.523177929348659,31.965002621230077,-0.4980780004770056,-0.025373939986635927,0.32347215654386235,0.0008153637631614042
20,0.30000000000000004,21.726787663567528,29,1,[20],0.7491995746057892,0.006212893810324662,2.4828351631285397,0.006416127371365991,1.0597215422999928,0.00403792644012393,3.5229833126396866,31.9650059546044,-0.49807801550802694,-0.025373913172587557,0.3234722132995954,0.0008153618292597182
21,0.30000000000000004,21.38386420256685,29,1,[21],0.7373746276747315,0.0064616785040165995,2.4428381757397326,0.006422650329675034,1.420976097557395,0.006239601479448576,4.7220279217392696,32.00203944280994,-0.4981818674129346,-0.025040660005408853,0.32377198210494074,0.000789686730151686
22,0.30000000000000004,22.005378174550135,29,1,[22],0.7588061439500124,0.005725965639704537,2.515993226674064,0.00673881412137069,0.7841038303621704,0.038367451023873164,2.5241553821515303,32.15771308630106,-0.49810451424553337,-0.025148793811624735,0.32145659090357076,0.0008086156937790806
23,0.30000000000000004,22.04006547735639,29,1,[23],0.7600022578398856,0.005701539512263192,2.5200372672710043,0.006741191635776323,0.7494378576357086,0.039102318302757046,2.406887449412595,32.15926093105098,-0.49810458755799997,-0.025148399818385188,0.3214416923014183,0.000808654688039867
24,0.30000000000000004,21.895901612621444,29,1,[24],0.7550310900903983,0.006978338536845843,2.5004875103820203,4.680854566357392e-05,0.9694589383317148,0.005657100449830414,3.218329893389445,32.1288900922429,-0.49823413657548454,-0.025124796869902537,0.3242579467227278,0.0008096998725358305
25,0.30000000000000004,21.895893551581327,29,1,[25],0.7550308121235042,0.006978308533704667,2.500486653833036,4.6811002576931455e-05,0.9694670875464106,0.005658319554204462,3.218354212861558,32.1288938840191,-0.49823414078792627,-0.02512475768943638,0.3242578863708653,0.0008096951501736244
26,0.30000000000000004,21.767497205980987,29,1,[26],0.7506033519303886,0.006959163417323543,2.4857731251275403,4.8081339370292294e-05,1.098005464716336,0.00639667235028753,3.6450926469037817,32.12993144137473,-0.4982334338851673,-0.025110667527078336,0.32421208907063565,0.0008123654694687419
27,0.30000000000000004,21.767482900234757,29,1,[27],0.7506028586287962,0.0069591338660588194,2.4857715497418496,4.8083727296295556e-05,1.098019810194071,0.006397895354078894,3.645137611487385,32.12993465452624,-0.49823343954733645,-0.02511062777651665,0.3242120455319384,0.0008123610782185448
28,0.30000000000000004,21.923619208218167,29,1,[28],0.755986869248915,0.006651748547020662,2.5044354842200014,6.702242637118133e-05,0.9426029747543655,0.018176661108569418,3.099597706594556,32.14460129340799,-0.49825524305265817,-0.024824998807983625,0.3238127696175797,0.0007829128966618969
29,0.30000000000000004,21.351410134621997,29,1,[29],0.7362555218835249,0.006200034484493207,2.439718325814599,4.0382205006351495e-05,1.5159084333544157,0.012458812148775582,5.023957549500909,32.17078722705583,-0.4979202811959357,-0.025599119030964023,0.32204015241251305,0.0008470921470494599
