method,state,wf_type,energytotal,energytotal_err,sisj,n_0_up,n_0_down,doccp_0,n_1_up,n_1_down,doccp_1,n_2_up,n_2_down,doccp_2,n_3_up,n_3_down,doccp_3,n_4_up,n_4_down,doccp_4,n_le_1,n_le_2,n_le,n_he,trace_up,trace_down,trace,Sz
casscf,0,eigenstates,0.0,0.0,3.7499999999973217,0.6666667280323317,0.3333332716314497,9.7391512501292e-15,0.6585295311981838,0.3292647922279253,1.858372467701642e-14,0.0081371027963185,0.0040685737718418,1.2033179464084318e-13,0.0081371047412787,0.0040685726157443,1.4335887445734916e-13,0.6585295332318866,0.3292647897530385,1.0990402560010983e-14,0.9999999996637814,1.9755886464110344,2.9755886460748155,0.0244113539251835,2.0,0.9999999999999998,2.999999999999999,0.4999999999999999
casscf,1,eigenstates,1.6150179534808855,0.0,0.7500000000027565,0.9963574152569876,1.8934185721901983e-08,1.3391018254825112e-08,0.4999585324645594,0.4982413947185216,0.0027323184853847,0.0018212868592413,0.0018213013050614,0.0009107698792189,0.0018212791642771,0.0018212645308165,0.0009107476226923,0.5000414862549349,0.4981160205114149,0.002711368026479,0.9963574341911732,1.9963574339494308,2.992714868140604,0.0072851318593965,2.0000000000000004,1.0000000000000002,3.0000000000000004,0.5000000000000001
casscf,2,eigenstates,1.615020163444853,0.0,0.7500000000072515,0.9963572624676098,1.5788184874728673e-08,1.574418433802157e-08,0.5018655947492631,0.5000440492692819,0.4973219079894656,0.001821453986834,0.0018213083833053,0.0009103028478169,0.0018213843104262,0.0018215298256975,0.000910377794283,0.4981343044858642,0.4963130967335291,0.4935915729840701,0.9963572782557948,1.9963570452379384,2.992714323493733,0.0072856765062632,1.9999999999999971,0.9999999999999988,2.9999999999999964,0.4999999999999992
casscf,3,eigenstates,1.7206506844706837,0.0,3.749999999291866,0.3059839665634687,0.1529935821431004,5.981276028952668e-12,0.5143529756564149,0.2571821634352014,5.206200346714055e-12,0.1542406174323163,0.077118528653076,7.732291940500994e-12,0.5124332285808182,0.2562076254718881,1.0986678082285102e-11,0.5129892117669819,0.2564981002967341,2.723147082907968e-12,0.4589775487065692,1.5410224511553323,1.9999999998619016,1.0000000001380986,2.0,1.0,3.0000000000000004,0.5
casscf,4,eigenstates,1.720754697896134,0.0,3.7499999998725246,0.305872008695322,0.1529358561528864,3.291104509944471e-14,0.5140873240502467,0.2570422059356085,3.3350754452497705e-12,0.5121502950457821,0.2560763372264942,1.3314329935084145e-13,0.1545151458663875,0.0772582227702043,4.99907987428816e-13,0.5133752263422613,0.2566873779148064,9.892716629562092e-14,0.4588078648482085,1.541192134242923,1.9999999990911317,1.0000000009088683,2.0,1.0,3.0,0.4999999999999999
casscf,5,eigenstates,1.8986444802219824,0.0,0.7500000000022089,0.7654195754917661,0.7638708227672493,0.7638707696148636,0.9892409579844944,1.6879428451526612e-07,1.642583281439669e-07,0.0088301252146973,0.0026902345127885,0.000381762083339,0.0088301679082698,0.002690257605608,0.000381794796815,0.2276791734007711,0.2307485163200691,0.2246085692330839,1.5292903982590154,1.4476688164996194,2.976959214758635,0.0230407852413639,1.9999999999999991,0.9999999999999996,2.9999999999999987,0.4999999999999998
casscf,6,eigenstates,1.898943271542051,0.0,0.750000000002438,0.7650407120344253,0.7634907151790807,0.7634907142624668,0.2280500762188351,0.2311255496659492,0.2249732902778966,0.0088441074490035,0.0026918981096329,0.0011530095370844,0.0088439602451884,0.0026916428535756,0.0011528079522168,0.9892211440525492,1.9419176220341987e-07,1.897010925164829e-07,1.528531427213506,1.448396964129096,2.976928391342602,0.0230716086574005,2.0000000000000018,1.0000000000000009,3.000000000000002,0.5000000000000006
casscf,7,eigenstates,1.9460993774416016,0.0,3.749999999747328,0.6666639092565942,0.3333343017341789,3.845297070920471e-12,0.3328044417778799,0.1664046535437437,4.167543566830739e-12,0.3338555755450865,0.1669296513469313,2.342632144020061e-13,0.3328129016000741,0.1664018717412116,7.094861453217132e-13,0.3338631718203658,0.1669295216339346,1.3040045080995682e-11,0.9999982109907732,1.000001788775924,1.9999999997666973,1.0000000002333036,2.0000000000000004,1.0000000000000002,3.000000000000001,0.5000000000000001
casscf,8,eigenstates,1.9461025379507249,0.0,3.7499999997459925,0.6666669488320276,0.3333326860160319,4.595517676158459e-12,0.333005833891786,0.166500522598724,1.4125145733155368e-11,0.3330067385367917,0.1665026152494433,6.475224766672529e-13,0.3336592894015403,0.1668313571597276,2.037053367898911e-12,0.333661189337855,0.1668328189760734,4.1333465963394956e-12,0.9999996348480596,1.0000003648044389,1.9999999996524984,1.0000000003475031,2.0000000000000004,1.0000000000000002,3.0000000000000013,0.5000000000000001
casscf,9,eigenstates,2.092389069292512,0.0,0.7500000001073222,0.9999748760350888,1.7978288215832955e-08,1.7961020465430083e-08,0.4781280253129317,0.4781148040265224,0.4781148038037041,0.0200168283959541,0.0200168519770866,0.0200102303662095,0.020021032163582,0.0200210083133574,0.0200144095712608,0.4818592380924431,0.4818473177047452,0.4818473168773449,0.999974894013377,1.9199493851366425,2.9199242791500195,0.0800757208499803,2.0,1.0,3.0,0.4999999999999999
casscf,10,eigenstates,2.426040023364432,0.0,0.7500000007242682,0.3303008763855863,0.6606017589282205,4.30039264618493e-08,0.8171777103529849,0.1624644549781849,2.435018263523975e-10,0.0177260956220075,0.0071832833845179,0.0022757795189155,0.0177244357741205,0.0071845043973374,0.0022755595136533,0.8170708818653021,0.16256599831174,4.48847587587e-08,0.9909026353138068,1.959279045508212,2.950181680822019,0.0498183191779835,2.0000000000000018,1.0000000000000009,3.000000000000002,0.5000000000000004
casscf,11,eigenstates,3.2410293539369173,0.0,3.7499999798467094,0.360679772506816,0.1803446677025078,4.937354743305916e-10,0.4861793548604284,0.2430718226248246,3.890862628608134e-10,0.1812353391912788,0.090616068445561,7.33782456802323e-11,0.4854383483269709,0.242710257313065,7.184527181501441e-11,0.4864671851145058,0.2432571839140413,6.648920964915942e-10,0.5410244402093239,1.4589755465138003,1.9999999867231244,1.0000000132768758,2.0,1.0,3.0,0.5
casscf,12,eigenstates,3.241136116970857,0.0,3.7499999875338244,0.3607789106862771,0.1804133775541365,4.8889730917218464e-11,0.4862438404217096,0.2431248435216042,5.380756155718346e-10,0.4855183076485305,0.2427499427304895,4.8292062317551493e-11,0.1811625982612691,0.0905691672723716,2.696884470737462e-11,0.4862963429822153,0.2431426689213988,2.8430963157168223e-10,0.5411922882404137,1.458807695846928,1.9999999840873417,1.000000015912661,2.0000000000000018,1.0000000000000009,3.0000000000000027,0.5000000000000004
casscf,13,eigenstates,3.312395259709415,0.0,0.7500000012383905,0.2034740663519753,0.2798113384335926,4.028837879317535e-07,0.402713399529201,0.3574665553299945,0.1300606841587556,0.4963768289749788,0.0036512277227227,2.2580621307075745e-08,0.4961910317958508,0.0037809309754851,2.2294003943016234e-09,0.4012446733479932,0.3552899475382045,0.1284399035075641,0.483285404785568,1.5167145757453933,1.9999999805309607,1.0000000194690375,1.9999999999999991,0.9999999999999996,2.9999999999999987,0.4999999999999998
casscf,14,eigenstates,3.31239702164672,0.0,0.7500000064052943,0.2034515040255212,0.2797808869404829,2.585573359985976e-07,0.4028257252891012,0.3576785871269656,0.1299687795806497,0.4956479483527899,0.0037848935447237,3.7143883755603796e-09,0.4969201061924811,0.0036471018829497,3.5977200595667055e-08,0.4011547161401069,0.3551085305048782,0.1283250449451369,0.4832323909660042,1.516767559061052,1.999999950027056,1.000000049972945,2.0000000000000004,1.0000000000000002,3.0000000000000004,0.5000000000000001
